teacher id,teachers name,teachers salary
1,Michelle Wilson,64
2,John Anthony,28
3,Jeffery Long,59
4,Courtney Mitchell,29
5,Joshua Brown,64
6,Brenda Roberts,64
7,Stacy Clark,66
8,Ricardo Riley,54
9,Kristin Lawson,42
10,Julie Parker,29
11,Jenna Barnes,86
12,Chelsea Stewart,81
13,Lori Patel,90
14,Pam Porter,89
15,Mrs. Amber Ramirez,73
16,Kevin Salinas,17
17,Michael Figueroa,38
18,Christopher Lopez,93
19,Gabriella Roberson,22
20,Tina Hunter,47
21,Julie Guerrero,13
22,Jacob Hughes,82
23,Billy Moore,2
24,Michelle Long,45
25,Cynthia Holmes,42
26,Donald Rowe,83
27,Matthew Snow,22
28,Scott Smith,60
29,Patricia Shelton,0
30,Rebecca Myers,44
31,Anthony Osborn,26
32,Patricia Parker,17
33,Jon Chang,62
34,April Mason,68
35,Alexandra Austin,64
36,Gregory Morgan,97
37,Sean Rice,60
38,Amber Miller,94
39,Kathy Martinez,55
40,Ryan Cantrell,76
41,Carlos Green,93
42,Donald Blackburn,67
43,Joseph Hebert,90
44,Jennifer West,63
45,Michael Lewis,53
46,Sean Sims DDS,37
47,Dr. Patrick Lopez,76
48,Brenda Reyes,69
49,Linda Aguilar,59
50,Rebecca Craig,24
51,Cole Pratt,89
52,Lisa Hamilton,59
53,Amanda Myers,75
54,Donald Garza,36
55,James Sanders,36
56,Jesse Sullivan,57
57,Virginia Meyer,57
58,Sandra Collins,85
59,Andrew Patterson,6
60,Matthew Friedman,0
61,Benjamin Ellis,11
62,Debra Wilson,65
63,Anthony Yang,14
64,Thomas Stephens,75
65,Bonnie Miller,58
66,Tanya Johnson,37
67,Amanda Jackson,35
68,Joseph Peterson,90
69,Anthony Myers,37
70,Kristy Mitchell,48
71,Robin Thomas,36
72,Paula Rivers,27
73,Christopher Brandt,55
74,Robert Blevins,12
75,Scott Barry,34
76,Janet Brady,97
77,Jennifer Larson,3
78,Brittany Gomez,11
79,Kenneth Armstrong,78
80,Eric Salas,34
81,Erin Diaz DDS,33
82,Timothy Villa,23
83,David Velazquez,74
84,Brittany Parrish,90
85,Amber Patel,84
86,Jill Mendoza,89
87,Christopher Mitchell,26
88,Brad Wright,58
89,Catherine Holmes,42
90,Holly Cook,79
91,Donald Jarvis,49
92,Adam Heath,88
93,Brendan Gould,59
94,Erik Greer,48
95,Lindsay Rodriguez,30
96,Scott House,19
97,Tamara Maxwell,45
98,Charles Eaton,62
99,Nicole Pope,84
100,Evan Simmons,15
