teacher id,teachers name,teachers salary
1,Carlos Chung,59
2,Christopher Edwards,59
3,Ashley Thompson,72
4,Tiffany Obrien,60
5,Robert Martinez,57
6,Richard Williams,25
7,Catherine Phillips,28
8,Walter Jones,59
9,Christina Miller,83
10,Sean Sexton,95
11,Michelle Brown MD,86
12,Kimberly Williams,62
13,Ronald Bailey,0
14,David Walker DDS,48
15,Marie Jackson,20
16,Janet Reyes,56
17,Lauren Gonzalez,33
18,Richard Howell,64
19,Stephanie Franco,89
20,Kelly Sparks,40
21,Mr. Joshua Thompson V,76
22,Rodney Mendoza,9
23,Sarah Lloyd,75
24,Adam Mendez,4
25,Michael Christensen,39
26,Shaun Gonzalez,3
27,Kevin Ramsey,85
28,Steven Burch,40
29,Craig Ruiz,86
30,Donna Rodriguez,72
31,Amanda Bradley,97
32,Cynthia Webb,93
33,Jason Gilbert,28
34,Darin Gray,56
35,John Jones,31
36,Adam Solomon,99
37,Mary Adams,64
38,Vicki Jackson,42
39,Travis Wilson,9
40,Lauren Bell,5
41,Benjamin Thomas,96
42,Andrew Blair,27
43,Amanda Hayes,54
44,Vicki Jordan,36
45,Colton Valdez,80
46,Matthew Madden,7
47,Andrew Walker,44
48,Christopher Cardenas,10
49,William Kline,94
50,Laurie George,14
51,Andrea Contreras,53
52,Sarah Wright,95
53,Jason Ruiz,2
54,Meagan Gray,68
55,Colin Barron,45
56,Kelly Shaw,53
57,David Murphy,66
58,Amy Hernandez,59
59,Brian Barron,87
60,Steven Johnson,82
61,Tracy Cole,49
62,Christopher Lynch,73
63,Benjamin Vazquez,66
64,Anthony Gibbs,87
65,Kyle Smith,14
66,Jason Higgins,63
67,Alexandra Howell,85
68,Xavier Arroyo,15
69,Theresa Cummings,47
70,Angela Price,96
71,Megan Olsen,62
72,Betty Moore,41
73,Randy Grant,79
74,Jon Lee,69
75,Timothy Rose,83
76,David Colon,2
77,Jesus Williams,61
78,Jessica Bauer,16
79,Thomas Russell,7
80,Jim Robbins,91
81,Raymond Hines,99
82,Nicholas Bright,18
83,Kenneth Griffin,43
84,Rebecca Humphrey,0
85,Jacob Harris,51
86,Heather Larsen,49
87,Kayla Weiss,55
88,David Johnson,95
89,Tony Page,96
90,Holly Zimmerman,14
91,Martin Cole,5
92,Yolanda Russo,84
93,Danny King,74
94,Megan Harris,65
95,Tracy Harding,1
96,Victor Blackburn,61
97,Stacey Warren,56
98,Mr. Jonathan Campbell DDS,73
99,Luke Thomas,20
100,Angela Cruz,0
