teacher id,teachers name,teachers age
1,Cynthia Baker,3
2,Alicia Lloyd,31
3,Tammie Waller,34
4,Andrea Murray,5
5,Paula Hubbard,33
6,Linda Goodwin,4
7,Dr. Deanna Fleming,88
8,William Merritt,99
9,Charles Reed,35
10,Kyle Calhoun,34
11,Traci Wallace,85
12,Michael Phillips,71
13,Yolanda Boyd,24
14,Brian Castro,8
15,Elizabeth Ortiz,11
16,Kevin Anderson,32
17,Brenda Patterson,45
18,Derrick Lambert,14
19,Ryan Davis,30
20,Karla Ashley,53
21,Peter Smith,26
22,Ralph Taylor,24
23,Tara Stone,82
24,Richard Smith,38
25,Heather Hooper,35
26,Cynthia Porter,74
27,Judy Lopez,39
28,Joseph Sanchez,64
29,Ashley Ray,93
30,Wanda Anderson,99
31,Charles Mcintyre,29
32,Sarah Saunders,96
33,Bradley Harrell,96
34,Carol Flynn,4
35,Christopher Craig,19
36,Stephanie Turner,61
37,William Miller,35
38,Samantha Fitzpatrick,10
39,Gina Martin,37
40,Stephen Blake,24
41,Melissa Thomas,34
42,Robert Mcclure,26
43,Rebekah Brown,0
44,Christopher Hall,87
45,Julie Wong,2
46,Lindsay Leon,13
47,Mckenzie Peters,11
48,Steven Gaines MD,92
49,Steven Douglas,8
50,Robert Landry,73
51,Brittany Mcgee,16
52,Virginia Hoover,82
53,Mary Christian,24
54,Keith Garrison PhD,31
55,Maria Carter,82
56,Nicholas Rivera,0
57,Mrs. Melissa Grimes,72
58,Ricardo Jacobson,98
59,Craig Brooks,32
60,Lance Turner,40
61,Lauren Cain,52
62,Aaron Michael,20
63,Joseph Burke,68
64,Molly Anthony,45
65,Travis Palmer,55
66,Matthew Hobbs,23
67,Diana Nichols,64
68,Emma Johnson,19
69,Jessica Lewis,88
70,Lori Pugh,68
71,Brent Walls,95
72,Jessica Payne,81
73,Martin Brooks,6
74,Antonio Cannon,41
75,Brandy Murray,8
76,Andrea Kim,94
77,Christy Porter,61
78,Jacob Butler,93
79,Lonnie Case,77
80,Patrick Juarez,94
81,Travis Villa,39
82,Michelle Herring,48
83,Sharon Murray,73
84,Lisa Jones,15
85,Christopher Ewing,61
86,Paul Rogers,11
87,Brian Bean,1
88,Shannon Johnson,18
89,Marissa Hall,45
90,Mr. David Howard PhD,77
91,Miguel Fox,95
92,Adam Williams,50
93,Isabel Chavez,36
94,Karen Rocha,99
95,Heather Hall,39
96,Colleen Richardson,29
97,Nicole Jennings MD,92
98,Sara Blackburn,30
99,Richard Colon,19
100,Jonathan Washington,94
